Date,Close,High,Low,Open,Volume,,,,,
2023-01-02,14069.25977,14095.91016,13976.44043,13992.70996,34978500,,,,,
2023-01-03,14181.66992,14293.87012,14083.75977,14116.07031,57907500,,,,,
2023-01-04,14490.78027,14492.78027,14264.59961,14266.98047,76221600,,,,,
2023-01-05,14436.30957,14501.59961,14403.73047,14451.23047,60947500,,,,,
2023-01-06,14610.01953,14610.23047,14388.98047,14476.71973,55433700,,,,,
2023-01-09,14792.83008,14832.88965,14628.61035,14650.73047,64976500,,,,,
2023-01-10,14774.59961,14790.82031,14692.74023,14741.96973,57438600,,,,,
2023-01-11,14947.91016,14965.46973,14794.99023,14805.40039,66367800,,,,,
2023-01-12,15058.2998,15095.03027,14934.50977,14972.28027,65971500,,,,,
2023-01-13,15086.51953,15132.37012,15041.16016,15063.20996,66451100,,,,,
2023-01-16,15134.04004,15153.19043,15083.94043,15112.0498,42102700,,,,,
2023-01-17,15187.07031,15269.70996,15083.9502,15130.03027,57914400,,,,,
2023-01-18,15181.7998,15250.36035,15156.88965,15182.9502,58258000,,,,,
2023-01-19,14920.36035,15134.07031,14906.26953,15115.5498,64167400,,,,,
2023-01-20,15033.55957,15034.42969,14940.67969,14986.51953,64031100,,,,,
2023-01-23,15102.9502,15145.90039,15022.83008,15077.40039,39903900,,,,,
2023-01-24,15093.11035,15147.4502,15022.5498,15140.5,48335400,,,,,
2023-01-25,15081.63965,15114.41016,14969.65039,15095.71973,53589900,,,,,
2023-01-26,15132.84961,15151.54004,15068.71973,15146.29004,62001200,,,,,
2023-01-27,15150.03027,15186.49023,15077.62012,15115.75,55135800,,,,,
2023-01-30,15126.08008,15161.07031,14988.98047,15070.2998,54664400,,,,,
2023-01-31,15128.26953,15136.21973,14993.58984,15081.16992,57047200,,,,,
2023-02-01,15180.74023,15222.33984,15107.83008,15125.12012,57095200,,,,,
2023-02-02,15509.19043,15520.96973,15264.30957,15275,122979300,,,,,
2023-02-03,15476.42969,15476.66992,15347.86035,15408.40039,76253700,,,,,
2023-02-06,15345.91016,15406.92969,15275.57031,15367.04004,54430400,,,,,
2023-02-07,15320.87988,15363.41016,15273.59961,15359.58984,56184100,,,,,
2023-02-08,15412.0498,15486.12988,15371.92969,15450.66992,61344800,,,,,
2023-02-09,15523.41992,15658.55957,15519.62988,15560.15039,66247500,,,,,
2023-02-10,15307.98047,15487.98047,15246.38965,15438.94043,65755600,,,,,
2023-02-13,15397.33984,15409.26953,15305.94043,15322.05957,38580400,,,,,
2023-02-14,15380.55957,15526.28027,15366.37012,15419,56427200,,,,,
2023-02-15,15506.33984,15520.38965,15388.84961,15394.44043,49065600,,,,,
2023-02-16,15533.63965,15634.04004,15417.16992,15612.42969,66113500,,,,,
2023-02-17,15482,15514.71973,15300.41992,15372.05957,70462400,,,,,
2023-02-20,15477.5498,15532.44043,15436.79004,15524.16016,33610800,,,,,
2023-02-21,15397.62012,15470.51953,15286.70996,15450.62012,47050500,,,,,
2023-02-22,15399.88965,15408.58008,15247.5,15342.59961,54879700,,,,,
2023-02-23,15475.69043,15552.76953,15433.96973,15453.29004,51347600,,,,,
2023-02-24,15209.74023,15530.45996,15162.48047,15501.82031,141484400,,,,,
2023-02-27,15381.42969,15481.05957,15351.62988,15351.62988,58764200,,,,,
2023-02-28,15365.13965,15443.16992,15289.42969,15299.79004,93757000,,,,,
2023-03-01,15305.01953,15478.83984,15254.11035,15399.91016,72243100,,,,,
2023-03-02,15327.63965,15329.29004,15150.66992,15171.07031,62593100,,,,,
2023-03-03,15578.38965,15590.44043,15409.99023,15430.66016,67122500,,,,,
2023-03-06,15653.58008,15677.92969,15587.78027,15597.90039,69392600,,,,,
2023-03-07,15559.53027,15706.37012,15544.07031,15638.44043,68603300,,,,,
2023-03-08,15631.87012,15667.20996,15524.84961,15528.80957,64604200,,,,,
2023-03-09,15633.20996,15667.0498,15535.12988,15619.75,59687500,,,,,
2023-03-10,15427.96973,15495.87012,15316.37988,15369.66992,114116400,,,,,
2023-03-13,14959.46973,15435.80957,14887.44043,15435.16016,157697900,,,,,
2023-03-14,15232.83008,15272.11035,14951.70996,15016.53027,101464500,,,,,
2023-03-15,14735.25977,15246.16992,14702.91016,15175.44043,157452200,,,,,
2023-03-16,14967.09961,15018.30957,14664.16992,14973.83984,141054600,,,,,
2023-03-17,14768.2002,15153.11035,14694.25977,15073.75977,217024000,,,,,
2023-03-20,14933.37988,14980.42969,14458.38965,14715.40039,125262600,,,,,
2023-03-21,15195.33984,15253.09961,15055.92969,15062.05957,94322300,,,,,
2023-03-22,15216.19043,15298.49023,15166.9502,15174.66992,82685900,,,,,
2023-03-23,15210.38965,15244.32031,15078.71973,15178.25,82739800,,,,,
2023-03-24,14957.23047,15135.65039,14809.82031,15135.5,181078000,,,,,
2023-03-27,15127.67969,15185.34961,15020.07031,15133.67969,90911900,,,,,
2023-03-28,15142.01953,15261.49023,15103.75977,15255.92969,73013800,,,,,
2023-03-29,15328.78027,15342.26953,15186.75,15242.51953,81824600,,,,,
2023-03-30,15522.40039,15536.41992,15424.69043,15429.37988,77412500,,,,,
2023-03-31,15628.83984,15659.05957,15499.83984,15568.37012,86968700,,,,,
2023-04-03,15580.91992,15659.34961,15553.90039,15623.4502,70893100,,,,,
2023-04-04,15603.46973,15736.55957,15601.40039,15639.01953,64484200,,,,,
2023-04-05,15520.16992,15627.29004,15482.87988,15611.67969,78217100,,,,,
2023-04-06,15597.88965,15601.49023,15509.08984,15530.2002,62790900,,,,,
2023-04-11,15655.16992,15726.01953,15625.79004,15710.4502,63070200,,,,,
2023-04-12,15703.59961,15827.28027,15668.2002,15689.13965,65206700,,,,,
2023-04-13,15729.45996,15754.99023,15675.15039,15708.20996,53361500,,,,,
2023-04-14,15807.5,15841.46973,15760.32031,15789.78027,78563300,,,,,
2023-04-17,15789.53027,15903.25,15764.37988,15838.88965,60200000,,,,,
